Date,Symbol,Open,High,Low,Close,Adj Close,Volume
1993/1/29,SPY,43.9687,43.9687,43.75,43.9375,27.46678,1003200
1993/2/1,SPY,43.9687,44.25,43.9687,44.25,27.662146,480500
1993/2/2,SPY,44.2187,44.375,44.125,44.3437,27.720715,201300
1993/2/3,SPY,44.4062,44.8437,44.375,44.8125,28.013771,529400
1993/2/4,SPY,44.9687,45.0937,44.4687,45,28.130983,531500
1993/2/5,SPY,44.9687,45.0625,44.7187,44.9687,28.111416,492100
1993/2/8,SPY,44.9687,45.125,44.9062,44.9687,28.111416,596100
1993/2/9,SPY,44.8125,44.8125,44.5625,44.6562,27.916061,122100
1993/2/10,SPY,44.6562,44.75,44.5312,44.7187,27.955128,379600
1993/2/11,SPY,44.7812,45.125,44.7812,44.9375,28.091932,19500
1993/2/12,SPY,44.875,44.875,44.5937,44.5937,27.876984,42500
1993/2/16,SPY,44.4687,44.4687,43.4062,43.4687,27.173721,374800
1993/2/17,SPY,43.4687,43.5312,43.2812,43.4375,27.154219,210900
1993/2/18,SPY,43.9375,43.9375,42.8125,43.4062,27.134647,378100
1993/2/19,SPY,43.4062,43.5625,43.3437,43.5625,27.232347,34900
1993/2/22,SPY,43.6875,43.7812,43.5625,43.7187,27.329983,513600
1993/2/23,SPY,43.8437,43.875,43.4687,43.6875,27.310513,373700
1993/2/24,SPY,43.7187,44.25,43.7187,44.25,27.662146,26300
1993/2/25,SPY,44.2187,44.375,44.125,44.3437,27.720715,44500
1993/2/26,SPY,44.4375,44.4375,44.1875,44.4062,27.759775,66200
1993/3/1,SPY,44.5625,44.5625,44.2187,44.2812,27.681633,66500
1993/3/2,SPY,44.3125,44.9375,44.25,44.9375,28.091932,182400
1993/3/3,SPY,45,45.1562,44.9375,45.125,28.209135,280100
1993/3/4,SPY,45.1875,45.1875,44.875,44.875,28.052847,89500
1993/3/5,SPY,44.9375,45.125,44.7187,44.75,27.974703,40000
1993/3/8,SPY,44.8437,45.75,44.8437,45.75,28.599831,50800
1993/3/9,SPY,45.6562,45.6875,45.5,45.5937,28.502121,169300
1993/3/10,SPY,45.5937,45.6875,45.4062,45.6875,28.560764,194400
1993/3/11,SPY,45.7187,45.8437,45.5,45.5625,28.482641,70900
1993/3/12,SPY,45.1875,45.2187,44.8125,45.0937,28.18955,643600
1993/3/15,SPY,45.0625,45.3125,45.0625,45.3125,28.326344,310800
1993/3/16,SPY,45.3125,45.4375,45.3125,45.3125,28.326344,30800
1993/3/17,SPY,45.25,45.25,44.9687,45.0312,28.15049,21800
